1,"@Ayda_Jaber ههههههه،لا بس في شغلة اساسية ستنا انا عزابي وعايش وحدي فا انا ما عم خون ولا عم اضهر على حدا ",Lebanese
2,أنا ضد الرد على #ريهام_سعيد باستخدام صورها بنية فضحها. ده بيعيد تقليد نفس الذكورية والوساخة إللي هي بتروج له. ده مش اسلوب ويا ريت إللي بيعمل كدا يوقف. تقدر تفرض وتقاوم وتمسح بها الأرض بصوت عالي وقوي من غير ما تتبنى أسلوبها. ,Lebanese
3,"#علي_إسماعيل، يعني أنا، ما بعرف ليش بقولوا عني زنخ و ساخر 💔 بس والله ما كنت عارف هلقد خطّي حلو على الخاص 😍 https://t.co/ImnicvwFCu ",Lebanese
4,@Marwa_ahmad2 عنجد كتير زنخ ,Lebanese
5,"RT @Christine_Habib: نقلاً عن الوالدة: طعّمرو هيدا ترامب خرب الدني.""  🤣"" ",Lebanese
6,"عطول في مناصري احزاب معيّنة بتحسا كأن تابعة لشي حزب عالمي عابر للقارات كل ما دق الكوز بالجرّة بتقوم القيامة و بتبلّش تعمل افلام... حبيبي عادي البلد فيو الف حزب كل يوم بفرّخ واحد، فيا عالم ما تحب حزبك او قيادتو، مش اخر الدني. Chill pill عالسريع. ",Lebanese
7,"RT @Christine_Habib: نقلاً عن الوالدة: طعّمرو هيدا ترامب خرب الدني.""  🤣"" ",Lebanese
8,"@JoyMikhaell @NinetteKamel خيّ، شو هالخبريّة الحلوة ! شتي، مطر، ميّ، لتنضف الدني! ",Lebanese
9,@HanadiZahreddi2 معناتا بين ايديكي الشي لي اهم من كنوز الدني و اذا بدك بعد اكتر من هيك بتكوني طميعة 😁 ما بتستاهلي الا كل خير هنودي انتي 🌹 ,Lebanese
10,"RT @Christine_Habib: نقلاً عن الوالدة: طعّمرو هيدا ترامب خرب الدني.""  🤣"" ",Lebanese
11,"RT @Christine_Habib: نقلاً عن الوالدة: طعّمرو هيدا ترامب خرب الدني.""  🤣"" ",Lebanese
12,"نقلاً عن الوالدة: طعّمرو هيدا ترامب خرب الدني.""  🤣"" ",Lebanese
13,RT @tok1975: الغريب انه كيف السياسيين سحبوا إيدهن من البنك.. هني عارفين انه البنك بريئ يا خيي عالقليلة يرفضوا ينزلوا بيان يفرجوا الدني كلها… ,Lebanese
14,الغريب انه كيف السياسيين سحبوا إيدهن من البنك.. هني عارفين انه البنك بريئ يا خيي عالقليلة يرفضوا ينزلوا بيان يفرجوا الدني كلها انه في ظلم... ولو دولتنا مش سألني عن حدا..  #جمال_ترست_بنك ,Lebanese
