1,RT @ArkanSumer: الملايين الي بالصور محتفلين بعيد راس السنه بغداد بعد كم شهر يحتفلون بعيد راس السنه خلوهم يجمعون فلوس احتفالهم ويقدموها للفق… ,Iraqi
2,@Kt32HRA90Wzfyo0 بس حجي مكدرين ,Iraqi
3,رونالدو بلمسات بسيطة يثبتلك هو هاي كلاس ,Iraqi
4,RT @hottttxx33x: #همساتك_تحييني فسكبِ في الفم شهداً علمني كيف أسكر من شفايفك النديه التي كالسحر ان مر و اغمضي عينيكِ لحظة  ربة الخد المدور… ,Iraqi
5,@tweepaya هاي خاف ضام عليه شي 😂😂 يحاول بالشلونك الثانيه خاف اكو شي منا منا ,Iraqi
6,الدكتور : هاي منو منطي المثبت مال حمل بمكان دوه القولون اني : https://t.co/xWCfuMKP7Z ,Iraqi
7,@dalaaalmoufti هاي بالجنة فقط ,Iraqi
8,ها يمهدي  شلونك بشهر المحرم           ها يمهدي  تجري عينك دمعه لو دم           ها يمهدي  بحالتك الله أعلم 💔  #يا_مهدي #محرم_١٤٤١ ,Iraqi
9,RT @Jnaaadam: الله عليكم ... الله عليكم .... اريد اعرف هاي الطقوس الدينية صحيحة https://t.co/B0LVBUoPa8 ,Iraqi
10,@maalhakim يمعود ياعام هجري الفيزا مال تركيا لعبت بينه طوبه هيج ماكو وزير خارجية اجه وسوا حل متكلي ليش تخافون من تركيا ,Iraqi
11,@Ghmgin94 طالع عليج حياتي🤣🌚😂 ,Iraqi
12,@iraqitweet @AlEshaiker هاي مبينة مالذ ذباب الكتروني هم ماكو اثبات ,Iraqi
13,RT @OnTVwn9N02X: اريد انشر حزن من أجل الحسين وريد أعلن حداد اعله المصيبه وريد انشر بيارغ بيهه عباس واريد أكتب عليهن يا غريبه عظم الله اجرج… ,Iraqi
14,@DOD__8 اايييي هنا صدك احسهم مرضى نفسيين 🤦🏻‍♀️قحط هي صورة اكل حتى هاي تبوكوها. ,Iraqi
15,@Ghmgin94 امممممم لعد من هاي تسألين عليه هههههههه  والله تمام انتي شلونج احوالج ,Iraqi
16,@pwHIc24gcy3nzF3 @1methaq @kym7AkOFfAwrmbM @kthere2019 @alpasha1977 @AEgOn4KcYfZW0Vy @o9wrKO192RYj2qt هالله عليج وردة ,Iraqi
17,@Atika_Shubbar علوية هاي شايفيهه وي خطيبها وكتلوهه وين اكو بالعراق بنت يكتلوهه لأن طالعه وي خطيبها ؟ والله ماكو. 😐 ,Iraqi
18,@285NWQ4mUTywbDr اتفق وياج .... ,Iraqi
19,خدمه فاطمه وخدمه ابنها  ربي كون ماتحرمني منها  ياريت المااملهم ابقى خادم الهم  شفت ناس بلفاهاوماكلت ياريت لابالجاه… https://t.co/AQBEfntYZG ,Iraqi
20,هاي الحلوة اللي مخبلة تويتر هاي امونة الشابندر ,Iraqi
21,@8q_dz اييي ممنوع عليج ,Iraqi
22,"RT @MO_JA80: ❤️😋أرخص وجبة غدا تلگاها يمي"" 😋❤️  أحمد عبد الهادي صاحب مطعم الزعيم بمنطقة باب جديد يقول ""مامعقولة عامل يوميته ٧٠٠٠ دينار يروح…"" ",Iraqi
23,RT @KRIRQ: أكو أشخاص أعتقد من يموتون راح يحصلون على كتاب شكر من رب العالمين لأن رجعوا أدمغتهم بالچيس وولا مستخدميها ! ,Iraqi
24," كفانا نبكي ""  أصلا ماكو وكت للبچي ..!🕊"" ",Iraqi
25,اي شخص كان ينشر اغاني و هسة ينشر لطميات و صور حسينية معليكم بي صدكوني مو كافر ولا متناقض بس شخص يعيش بداخلة الاعجاب… https://t.co/8gcIoHtPJr ,Iraqi
26,"هاي مو بس بلقيس او غيرها ، هذا الكلام يمثل نسبة مو هينه من النساء مع الاسف .. الشي الي تحبوا لنفسكم حبوا لغيركم. ",Iraqi
27,@teiaa1a @D_FCB_10 لاا جرحتي احاسيسي ومشاعري لان شهر شهر العاشر واكف عليج 😂😂😂 ,Iraqi
28,RT @oNRDQC52rIY00rh: @zainb_baghdadi لج زوزو وداعت امي من سمعت لخبر منايمة من لقهر مخنوكة كولش الله يشافيه يارب🙏💔 ,Iraqi
29,@shogalrooh1 اسم الله عليج ,Iraqi
