1,"""RT @Mjediat1: كم قلت لك في غيبتك وش كثر أبيّك ،  أشتقت لك تقول لي و أنا بعد ❤️""",Omani
2,"""@_alkalbani_96 هلا وغلا افا عليك خلا والله الحافظ""",Omani
3,"""اسلوبي""",Omani
4,"""RT @i6fash: يسافرون ويرجعون ونفسيتهم زفت  وانا اخذ شاور وامشط شعري واكشخ  كأني جاي من باريس القناعه كنز لا يفنى .""",Omani
5,"""@Khl9542 @do_176 أكيد طبعا لكن معناتها حن من نصير عجايز تتغير لهجتنا وكلامنا تراه الكلام واحد من نكون صغار لين نكبر والا التطور يلعب دووور🙄🤔""",Omani
6,"""@roo7alm7aba1 @umraima بلاش 😂😂😂😂""",Omani
1,"""@madridiah99 @eUFKBfKmfxPdOAo ما نهدي ع ذي أشكال... تو واحد يحمد ربه وش ضارنك انت نحمد ع ربنا ع كل شي...""",Omani
2,"""من خلق هذا التناقض بين ما نحن وبين ما نريد أن نكون, من صنع هذه الفجوة بين روح وجسد,بين حرف وشعور ,بينهم أبحث عني ولا أجدني....""",Omani
3,"""RT @MoustaphaxX: الصوت الملائكي .. https://t.co/lrtmwKF4EO""",Omani
4,"""RT @_ihudax: ملوك الدراما الخليجية https://t.co/X6RQF8jVb6""",Omani
5,"""RT @1E8tbas: لا وجع كفقد روح لن تراها مهما بكيت .""",Omani
6,"""RT @kbor88: @JWcZ0C4qH1cIXDW @alshahrani1408 @Hzz3MRZ @uae_3G الضب لبس كرفته صدق نفسه خف علينا يا اللي جاي من عالم الموضه 😂 غسل يدينك زين h…""",Omani
7,"""@Rooozan20 ايش نسوي 😂😂😂""",Omani
8,"""@Thehulk933 والسرور هلا""",Omani
9,"""@Rofaan191 أم منار الله يهديك.. تو نقول وأنت معلمة ابتعدي بارك الله فيك عن الرسائل، سادنا بو أيجينا""",Omani
10,"""@oman_m77 جمعه شبابيه مع نادي روقاني مع لفة استراليا لكن شوفو وش نهايته 💔💔💔😱ً !! رابط المقطع كامل 👇🏻… https://t.co/Df75K1SgWM""",Omani
